名称,大类,中类,经度,纬度,省份,地级市,lon,lat,name,区县,type,operator,ports,place_type
星星充电汽车公共充电站,汽车相关,充电站,108.714677,33.998546,陕西省,西安市,108.714677,33.998546,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.714653,33.998469,陕西省,西安市,108.714653,33.998469,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.714661,33.99851,陕西省,西安市,108.714661,33.99851,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
特来电公共充电站,汽车相关,充电站,108.709874,34.040909,陕西省,西安市,108.709874,34.040909,特来电公共充电站,西安市,汽车相关 充电站,特来电,3,其他
国家电网汽车公共充电站,汽车相关,充电站,108.6721,34.036088,陕西省,西安市,108.6721,34.036088,国家电网汽车公共充电站,西安市,汽车相关 充电站,国家电网,6,其他
云快充汽车公共充电站,汽车相关,充电站,108.661824,34.045701,陕西省,西安市,108.661824,34.045701,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.68015,34.067778000000004,陕西省,西安市,108.68015,34.067778000000004,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.675234,34.088145,陕西省,西安市,108.675234,34.088145,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.676276,34.086708,陕西省,西安市,108.676276,34.086708,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.643025,34.100307,陕西省,西安市,108.643025,34.100307,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.645894,34.082906,陕西省,西安市,108.645894,34.082906,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.642282,34.100112,陕西省,西安市,108.642282,34.100112,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.692015,34.057674,陕西省,西安市,108.692015,34.057674,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.69757,34.077597999999995,陕西省,西安市,108.69757,34.077597999999995,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.704047,34.126191000000006,陕西省,西安市,108.704047,34.126191000000006,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,4,其他
星星充电汽车公共充电站,汽车相关,充电站,108.716926,34.106297999999995,陕西省,西安市,108.716926,34.106297999999995,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.713972,34.136667,陕西省,西安市,108.713972,34.136667,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
星辉公共充电站,汽车相关,充电站,108.66554,34.108413000000006,陕西省,西安市,108.66554,34.108413000000006,星辉公共充电站,西安市,汽车相关 充电站,其他,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.669519,34.118008,陕西省,西安市,108.669519,34.118008,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.677436,34.14942,陕西省,西安市,108.677436,34.14942,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.675849,34.149311999999995,陕西省,西安市,108.675849,34.149311999999995,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.664127,34.155497,陕西省,西安市,108.664127,34.155497,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.664175,34.155444,陕西省,西安市,108.664175,34.155444,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.664192,34.15459,陕西省,西安市,108.664192,34.15459,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.614586,34.055835,陕西省,西安市,108.614586,34.055835,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.615357,34.055831000000005,陕西省,西安市,108.615357,34.055831000000005,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.604129,34.069251,陕西省,西安市,108.604129,34.069251,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.614756,34.055263000000004,陕西省,西安市,108.614756,34.055263000000004,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.615388,34.055886,陕西省,西安市,108.615388,34.055886,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.615396,34.055896000000004,陕西省,西安市,108.615396,34.055896000000004,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.63431,34.166152000000004,陕西省,西安市,108.63431,34.166152000000004,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.621484,34.144002,陕西省,西安市,108.621484,34.144002,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.562452,34.107578,陕西省,西安市,108.562452,34.107578,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.556581,34.133888000000006,陕西省,西安市,108.556581,34.133888000000006,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.58688,34.108902,陕西省,西安市,108.58688,34.108902,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.583094,34.10954,陕西省,西安市,108.583094,34.10954,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.594075,34.111818,陕西省,西安市,108.594075,34.111818,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.594833,34.107462,陕西省,西安市,108.594833,34.107462,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
